Site_ID,Site_Name,Facility,Website,Phone,Attendance_Instructions,Site_Facilities,Service_Availability,Address,Suburb,State,Postcode,LGA,Latitude,Longitude,Delay,DelayText,Requirements,SymptomaticTestingOnly,Directions,TestTracker,AgeLimit,AddressOther,ServiceType,FacilityType,ServiceFormat,Mo_Start,Mo_End,Tu_Start,Tu_End,We_Start,We_End,Th_Start,Th_End,Fr_Start,Fr_End,Sa_Start,Sa_End,Su_Start,Su_End,Start_Lunch,End_Lunch,Description,Translation_Services,Toilets_Available,Parking_Options,Accessible_Parking,Status,StatusAlert,LastUpdatedTime
"3921","Geelong Respiratory Clinic (Kardinia Health) - Drive Through","Drive-through Testing Facility","https://www.hotdoc.com.au/medical-centres/belmont-VIC-3216/geelong-respiratory-clinic/doctors?purpose=respiratory","03 5202 9344","• PCR testing available <br> • Remain in vehicle unless directed otherwise <br>• Symptomatic Only Testing Clinic. This means if you do not currently have symptoms, we are not able to test you, even if you have a letter from DHHS <br>• No testing for travel purposes ","Wheelchair access.","Mon-Fri 10am-12pm, Sat-Sun Closed.","17 Reynolds Rd","Belmont","VIC","3216",,"-38.1892799","144.324899",,"","","No","Use Street Address","No","All ages","DO NOT enter the front doors of Kardinia Health.","GP Respiratory Clinic","Fixed Clinic","Drive Through","10:00 AM","12:00 PM","10:00 AM","12:00 PM","10:00 AM","12:00 PM","10:00 AM","12:00 PM","10:00 AM","12:00 PM",,,,,,,,,,,,"Open",,"2022-08-04 15:06:10"
"3913","Benalla Health - Drive Through","Hospital Respiratory Clinic","https://www.benallahealth.org.au/PatientsVisitors/COVID19FeverClinic-606/","03 5761 4284","• PCR testing available by appointment only from 7am to 9am <br> • RAT kits available 7am-3pm from Urgent Care Centre - Walk-in <br>",,"Mon,Wed,Fri-Sun Closed, Tue,Thu 7am-9am.","45-63 Coster Street","Benalla","VIC","3672",,"-36.55523","145.99353",,"","","No","Use Street Address","Yes","All ages",,"Public Health Service","Hospital","Drive Through",,,"7:00 AM","9:00 AM",,,"7:00 AM","9:00 AM",,,,,,,,,,,,,,"Open",,"2022-10-07 13:41:18"
"3911","Bendigo Health - Walk In","Hospital Respiratory Clinic","https://www.bendigohealth.org.au/page/3441","03 5454 6000","• PCR testing available <br> • RAT kits available <br>",,"Mon-Sun 10am-5:30pm.","10 Stewart Street","Bendigo","VIC","3550",,"-36.74801735067975","144.28265235955845",,"","","No","Use Latitude/Longitude","No","All ages",,"Public Health Service","Hospital","Walk Through","10:00 AM","5:30 PM","10:00 AM","5:30 PM","10:00 AM","5:30 PM","10:00 AM","5:30 PM","10:00 AM","5:30 PM","10:00 AM","5:30 PM","10:00 AM","5:30 PM",,,,,,,,"Open",,"2022-08-09 14:28:20"
"4156","Melbourne Pathology - Bendigo - Walk Through","Pathology Collection Centre","https://www.mps.com.au/locations/collection-centres/?P=117","03 5444 2382","• PCR testing available <br> This site only accepts patients that requite COVID testing for the following:<br>•  Prepaid international travel<br>• Pre-op patients (patients must have a referral or QR code)<br> • Pregnant patients<br>• Patients requiring hospital admission or entry<br>• Corporate testing patients <br>COVID testing will NOT be performed on:<br> • Symptomatic patients<br>• Patients that have had a rapid  antigen test (RAT)<br>• Close contact patients<br>• Returned travellers (Day 1 and Day 5)<br>• General asymptomatic testing (that is not in the accepted list above)<br> • Asymptomatic Nursing Home Staff<br> • Asymptomatic Hotel Quarantine workers ",,"Mon-Fri 8am-4pm, Sat 9am-12pm, Sun Closed. Asymptomatic only – also excludes testing for patients from Tier 1, 2, 3 exposure sites and red and orange zones.","1 Chum Street","Bendigo","VIC","3550",,"-36.762181","144.2615425",,"","","No","Use Street Address","No","All ages","Level 1.","Pathology Collection Centre","Fixed Clinic","Walk Through","8:00 AM","4:00 PM","8:00 AM","4:00 PM","8:00 AM","4:00 PM","8:00 AM","4:00 PM","8:00 AM","4:00 PM","9:00 AM","12:00 PM",,,,,"Asymptomatic only – also excludes testing for patients from Tier 1, 2, 3 exposure sites and red and orange zones.",,,,,"Open",,"2022-08-05 12:48:14"
"3975","Melbourne Pathology - Bentleigh - Drive Through","Pathology Collection Centre","https://www.mps.com.au/coronavirus-covid-19/covid-19-dedicated-collection-sites/","03 9287 7700","• Appointment Only<br>• PCR testing available <br>• Drive-through, remain in vehicle<br>• Closed for lunch 12:15 - 1:00pm",,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed.","159 Jasper Road","Bentleigh","VIC","3204",,"-37.920724371842276","145.0411931472546",,"","GP referral required.","No","Use Street Address","No","All ages",,"Pathology Collection Centre","Fixed Clinic","Drive Through","8:30 AM","4:30 PM","8:30 AM","4:30 PM","8:30 AM","4:30 PM","8:30 AM","4:30 PM","8:30 AM","4:30 PM",,,,,,,,,,,,"Open",,"2022-09-14 12:32:01"
"4060","4Cyte Pathology - Bentleigh East - Drive Through","Pathology Collection Centre","https://www.4cyte.com.au/Covid19_Location_Bentleigh.php","0435 228 857","• PCR testing available <br> • Remain in vehicle at all times ",,"Mon-Fri 8am-4pm, Sat 8am-12pm, Sun 9am-12pm. Closed 12:30pm-1pm. • Site closed from 12:30 PM to 1:00 PM for lunch on weekdays","609-611 South Road","Bentleigh East","VIC","3165",,"-37.9348291","145.0518368",,"","","No","Use Street Address","No","All ages","Rear car park.","Pathology Collection Centre","Fixed Clinic","Drive Through","8:00 AM","4:00 PM","8:00 AM","4:00 PM","8:00 AM","4:00 PM","8:00 AM","4:00 PM","8:00 AM","4:00 PM","8:00 AM","12:00 PM","9:00 AM","12:00 PM","12:30 PM","1:00 PM","• Site closed from 12:30 PM to 1:00 PM for lunch on weekdays",,,,,"Open",,"2022-10-12 10:29:51"
"4539","4Cyte Pathology - Blackburn South - Walk Through","Pathology Collection Centre","https://www.4cyte.com.au/",,"• PCR testing available <br> • International travellers will need to visit www.4cyte.com.au and complete International Travellers details <br> • If you need to be tested for international travel purposes, after you have registered on the portal, print and bring your request form with you <br> • Information provided via our website <br> • Patients can contact 134CYTE for follow up or email support@4cyte.com.au ",,"Mon-Fri 8am-4pm, Sat 8am-12pm, Sun 9am-12pm. Closed 12:30pm-1pm. • Site closed from 12:30 PM to 1:00 PM for lunch on weekdays","182 Canterbury Road","Blackburn South","VIC","3130",,"-37.832819854699096","145.15413755306062",,"","","No","Use Street Address","No","All ages",,"Pathology Collection Centre","Fixed Clinic","Walk Through","8:00 AM","4:00 PM","8:00 AM","4:00 PM","8:00 AM","4:00 PM","8:00 AM","4:00 PM","8:00 AM","4:00 PM","8:00 AM","12:00 PM","9:00 AM","12:00 PM","12:30 PM","1:00 PM","• Site closed from 12:30 PM to 1:00 PM for lunch on weekdays",,,,,"Open",,"2022-10-12 12:01:51"
"4050","Boort District Health","Drive-through Testing Facility","http://www.bdh.vic.gov.au/","03 5451 5200","• PCR testing available <br> • RAT kits available <br> • Please phone prior to midday for same day appointments and note you will need to be at the Boort testing site at 12:30pm<br>• Closed weekends and public holidays ",,"Mon-Fri 12:30pm-1pm, Sat-Sun Closed.","31 Kiniry Street","Boort","VIC","3537",,"-36.1119002","143.7274063",,"","","No","Use Street Address","Yes","5 years+",,"Public Health Service","Other","Drive Through","12:30 PM","1:00 PM","12:30 PM","1:00 PM","12:30 PM","1:00 PM","12:30 PM","1:00 PM","12:30 PM","1:00 PM",,,,,,,,,,,,"Open",,"2022-07-19 15:17:29"
"4624","Broadmeadows Respiratory Clinic (DPV Health) - Symptomatic respiratory assessments/testing ONLY","Walk-through Testing Facility","https://www.dpvhealth.org.au/all-services/respiratory-clinic/ ","1300 234 263","• PCR testing available<br> • Appointment preferred<br> • Respiratory assessments for symptomatic patients only – no asymptomatic COVID-19 testing (including pre travel PCR tests)<br> • Booking site in development ",,"Mon,Wed 10am-09:30pm, Tue 10am-05:30pm, Thu-Sun 10am-5:30pm.","42-48 Coleraine St","Broadmeadows","VIC","3047",,"-37.67676830638191","144.91828649960502",,"","","No","Use Street Address","No","All ages",,"GP Respiratory Clinic","Other","Walk Through","10:00 AM","09:30 PM","10:00 AM","05:30 PM","10:00 AM","09:30 PM","10:00 AM","5:30 PM","10:00 AM","5:30 PM","10:00 AM","5:30 PM","10:00 AM","5:30 PM",,,,,,,,"Open",,"2022-09-26 13:17:21"
"4088","DPV Broadmeadows","Community Health Respiratory Clinic","https://www.dpvhealth.org.au/",,"• PCR testing available <br> • RAT kits available <br> • Closing time may be impacted by wait times <br> • For example, if wait time is 30 minutes, this site may not accept additional vehicles for testing 30 minutes before closing time <br> • Reminder: Cyclists NOT accepted.",,"Mon-Sun 9am-4:30pm.","24 Pearcedale Parade","Broadmeadows","VIC","3047",,"-37.681507","144.916742",,"","","No","Use Street Address","Yes","All ages","Hume City Council Carpark, Hume City Council.","Community Health","Fixed Clinic","Drive Through","9:00 AM","4:30 PM","9:00 AM","4:30 PM","9:00 AM","4:30 PM","9:00 AM","4:30 PM","9:00 AM","4:30 PM","9:00 AM","4:30 PM","9:00 AM","4:30 PM",,,,,"Yes",,"Yes","Open",,"2022-08-18 11:40:23"
"4380","4Cyte Pathology - Brunswick East - Drive Through","Pathology Collection Centre",,,"• PCR testing available <br> • No booking required <br> • International travellers will need to visit www 4cyte com au and complete International Travellers details <br> • For international travel please visit 4cyte website for more information ",,"Mon-Sat 8am-12pm, Sun 9am-12pm.","20C Leinster Grove","Brunswick East","VIC","3057",,"-37.770707144650046","144.97278278376945",,"","","No","Use Street Address","No","All ages","Entry via Jarvie Street.","Pathology Collection Centre","Fixed Clinic","Drive Through","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","9:00 AM","12:00 PM",,,,,,,,"Open",,"2022-10-03 10:49:34"
"4399","4Cyte Pathology - Brunswick East - Walk-In","Pathology Collection Centre",,,"• No booking required <br> • International travellers will need to visit www.4cyte.com.au and complete International Travellers details <br> • For international travel please visit 4cyte website for more information",,"Mon-Sat 8am-12pm, Sun 9am-12pm. Last access for testing will be 15 minutes before closing time. This site may be subject to earlier closing times due to high testing demand.","20C Leinster Grove","Brunswick East","VIC","3057",,"-37.770707144650046","144.97278278376945",,"","","No","Use Street Address","No","All ages","Entry via Jarvie Street.","Pathology Collection Centre","Fixed Clinic","Walk Through","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","9:00 AM","12:00 PM",,,"Last access for testing will be 15 minutes before closing time. This site may be subject to earlier closing times due to high testing demand.",,,,,"Open",,"2022-10-03 10:50:56"
"4651","4Cyte Pathology - Bundoora Drive-Through","Pathology Collection Centre","https://www.4cyte.com.au/Covid19_Location_Bundoora.php",,"• PCR testing available <br> • Walk-in also accepted  <br> • International travellers will need to visit www 4cyte com au and complete International Travellers details <br> • For international travel please visit 4cyte website for more information ",,"Mon-Fri 8am-12pm, Sat-Sun Closed.","19 Kerri Street","Bundoora","VIC","3083",,"-37.69493344062273","145.05748687692034",,"","","No","Use Street Address","No","All ages",,"Pathology Collection Centre","Fixed Clinic","Drive Through","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM",,,,,,,,,,,,"Open",,"2022-10-03 10:46:41"
"4117","Banyule Community Health - La Trobe University - Bundoora Campus - Drive Through","Drive-through Testing Facility",,,"• PCR testing available <br> • RAT kits available <br>",,"Mon-Sun 9am-4pm.","Carpark 7A, Latrobe University","Bundoora","VIC","3083",,"-37.71799912611221","145.05096351801222",,"","","No","Use Street Address","Yes","All ages","Carpark 7, La Trobe University, Bundoora Campus (opposite La Trobe Wildlife Sanctuary).","Community Health","Other","Drive Through","9:00 AM","4:00 PM","9:00 AM","4:00 PM","9:00 AM","4:00 PM","9:00 AM","4:00 PM","9:00 AM","4:00 PM","9:00 AM","4:00 PM","9:00 AM","4:00 PM",,,,,"Yes",,,"Open","Operating with Extended Hours","2022-08-18 17:25:21"
"3915","Carrum Downs Respiratory Clinic","Walk-through Testing Facility","https://www.hotdoc.com.au/medical-centres/carrum-downs-VIC-3201/carrum-downs-respiratory-clinic/doctors?purpose=respiratory","03 9782 6088","• PCR testing available","Wheelchair access","Mon-Fri 9:30am-5pm, Sat 9:30am-1pm, Sun Closed.","113B Hall Road","Carrum Downs","VIC","3201",,"-38.099933","145.1858691",,"","","No","Use Street Address","No","All ages","Enter via 115 Hall Road, between Nova Pharmacy and Harcourts Real Estate, towards medical centre. Clinic is on right hand side.","GP Respiratory Clinic","Fixed Clinic","Walk Through","9:30 AM","5:00 PM","9:30 AM","5:00 PM","9:30 AM","5:00 PM","9:30 AM","5:00 PM","9:30 AM","5:00 PM","9:30 AM","1:00 PM",,,,,,,,,,"Open",,"2022-04-26 13:42:55"
"4301","4Cyte Pathology - Cheltenham","Pathology Collection Centre","https://www.4cyte.com.au/Covid19_Location_Cheltenham.php","13 42 98","• PCR testing available <br> • International travellers will need to visit www 4cyte com au and complete International Travellers details <br> • More information available on 4cyte website ",,"Mon-Fri 8am-12pm, Sat-Sun Closed.","1261 Nepean Highway","Cheltenham","VIC","3192",,"-37.96167337501419","145.0556046042472",,"","","No","Use Street Address","No","All ages","Enter service lane after Jamieson Street.","Pathology Collection Centre","Fixed Clinic","Walk Through","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM",,,,,,,,,,,,"Open",,"2022-10-03 10:53:50"
"4689","Monash Children's Respiratory Clinic","Walk-through Testing Facility","https://www.hotdoc.com.au/medical-centres/book/appointment/doctor-time?clinic=9016&for=you&history=return-visit&reason=112687&who=3690331","03 9284 2716","Respiratory assessment needed. For Children under 18 years only. ",,"Mon-Sun 6pm-11pm. Appointments are 6PM-8PM daily. To be seen after 8PM, please present to Monash Emergency Department and if appropriate you will be directed to the clinic.","246 Clayton Road","Clayton","VIC","3168",,"-37.9192599688892","145.124046055896",,"","","No","Use Latitude/Longitude","No",,"Located within Monash Children's Hospital - Specialist Clinic 1 <br> Enter via Main entrance before 8PM, and via emergency department after 8PM <br>","GP Respiratory Clinic","Fixed Clinic","Walk Through","6:00 PM","11:00 PM","6:00 PM","11:00 PM","6:00 PM","11:00 PM","6:00 PM","11:00 PM","6:00 PM","11:00 PM","6:00 PM","11:00 PM","6:00 PM","11:00 PM",,,"Appointments are 6PM-8PM daily. To be seen after 8PM, please present to Monash Emergency Department and if appropriate you will be directed to the clinic.",,"Yes",,"Yes","Open",,"2022-09-27 10:31:52"
"3997","NCN Health - Cobram Hospital - Appointment only","Hospital Respiratory Clinic","https://ncnhealth.org.au/","03 5871 0777 (option 6) - By appointment only.","• PCR testing available by appointment only<br> • RAT kits available",,"Mon,Thu 1:30pm-2pm, Tue-Wed,Fri-Sun Closed.","24-32 Broadway Street","Cobram","VIC","3644",,"-35.9164655","145.6511021",,"","","No","Use Street Address","Yes","All ages",,"Public Health Service","Hospital","Walk Through","1:30 PM","2:00 PM",,,,,"1:30 PM","2:00 PM",,,,,,,,,,,,,,"Open",,"2022-09-30 11:30:46"
"4103","Colac Area Health","Walk-through Testing Facility","https://www.cah.vic.gov.au/","1800 512 424","• RAT kits available Monday to Friday 8:30 AM TO 5:00 PM<br> • Pre-register by calling prior to arrival. <br> • No PCR testing available",,"Mon-Fri 8:30am-5:30pm, Sat-Sun Closed.","18 Connor Street","Colac","VIC","3250",,"-38.3409523","143.5806865",,"","","No","Use Street Address","Yes","All ages","Blue Room.","Public Health Service","Other","Walk Through","8:30 AM","5:30 PM","8:30 AM","5:30 PM","8:30 AM","5:30 PM","8:30 AM","5:30 PM","8:30 AM","5:30 PM",,,,,,,,,,,,"Open",,"2022-07-08 16:53:38"
"1048","Colac Area Health - Colac Hospital - Walk Through","Hospital Respiratory Clinic","https://www.cah.vic.gov.au/","03 5232 5402","• RAT kits available <br>",,"Mon-Fri 8:30am-5pm, Sat-Sun Closed.","2-28 Connor Street","Colac","VIC","3250",,"-38.3409523","143.5806865",,"","","No","Use Street Address","Yes","All ages",,"Public Health Service","Hospital","Walk Through","8:30 AM","5:00 PM","8:30 AM","5:00 PM","8:30 AM","5:00 PM","8:30 AM","5:00 PM","8:30 AM","5:00 PM",,,,,,,,,,,,"Open",,"2022-07-19 14:50:39"
"3948","Cohealth - Collingwood","Community Health Respiratory Clinic","https://www.cohealth.org.au/get-tested-for-coronavirus/",,"• PCR testing available <br> • RAT kits available <br> • Closed 12:15pm-1:15pm <br> • Closing time may be impacted by wait times. For example, if wait time is 30 minutes, this site may not accept additional clients for testing 30 minutes before closing time ","Wheelchair access.","Mon-Fri 9:15am-4:30pm, Sat-Sun Closed. Closed 12:15pm-1pm.","149 Easey Street","Collingwood","VIC","3066",,"-37.79835183924468","144.99270312653175",,"","","No","Use Street Address","Yes","All ages","Testing site is located at the back of 365 Hoddle st, entry to the Testing Site is through 149 Easey st.","Community Health","Fixed Clinic","Walk Through","9:15 AM","4:30 PM","9:15 AM","4:30 PM","9:15 AM","4:30 PM","9:15 AM","4:30 PM","9:15 AM","4:30 PM",,,,,"12:15 PM","1:00 PM",,,"Yes - Accessible","Free parking available","Yes","Open",,"2022-09-29 17:20:49"
"3987","Coolaroo Respiratory Clinic","Walk-through Testing Facility","https://www.hotdoc.com.au/medical-centres/coolaroo-VIC-3048/coolaroo-respiratory-clinic/doctors?purpose=respiratory","03 8840 0800","• PCR testing available ","Wheelchair access.","Mon-Fri 3pm-4pm, Sat-Sun Closed.","512 Barry Road","Coolaroo","VIC","3048",,"-37.6645299","144.9315528",,"","","No","Use Street Address","No","All ages",,"GP Respiratory Clinic","Fixed Clinic","Walk Through","3:00 PM","4:00 PM","3:00 PM","4:00 PM","3:00 PM","4:00 PM","3:00 PM","4:00 PM","3:00 PM","4:00 PM",,,,,,,,,,,,"Open",,"2022-04-26 13:54:29"
"4642","Corryong Health ","Drive-through Testing Facility",,,"• PCR testing available <br> • RAT kits available <br> • Appointment only",,"Mon-Sun 11:30am-12:30pm.","20 Kiell Street","Corryong","VIC","3707",,"-36.19862527508115","147.90305585585187",,"","","No","Use Street Address","Yes","All ages",,"Public Health Service","Fixed Clinic","Drive Through","11:30 AM","12:30 PM","11:30 AM","12:30 PM","11:30 AM","12:30 PM","11:30 AM","12:30 PM","11:30 AM","12:30 PM","11:30 AM","12:30 PM","11:30 AM","12:30 PM",,,,,,,,"Open",,"2022-07-19 14:23:50"
"4666","Monash Health - Phillip Island - Cowes","Pathology Collection Centre",,,"• PCR testing available<br>• RAT kits available<br>",,"Mon,Wed,Fri 12:30pm-3:30pm, Tue,Thu,Sat-Sun Closed.","50 Church Street","Cowes","VIC","3922",,"-38.45200654056102","145.24122426955802",,"","","No","Use Street Address","No",,,"Pathology Collection Centre","Pop Up","Walk Through","12:30 PM","3:30 PM",,,"12:30 PM","3:30 PM",,,"12:30 PM","3:30 PM",,,,,,,,,,,,"Open",,"2022-05-30 15:39:50"
